foodId,name,serving,calories,protein,totalFat,carbohydrates,saturatedFat,fiber
116,Dandelion greens,1 cup,80,5,1,16,0,3.2
117,Eggplant,1 cup,30,2,t,9,0,1
118,Endive,2 oz.,10,1,t,2,0,0.6
119,Kale,1 cup,45,4,1,8,0,0.9
120,Kohlrabi,1 cup,40,2,t,9,0,1.5
121,"Lambs quarters, steamed",1 cup,48,5,t,7,0,3.2
122,Lentils,1 cup,212,15,t,38,0,2.4
123,Lettuce,1/4 head,14,1,t,2,0,0.5
124,Iceberg,1/4 head,13,t,t,3,0,0.5
125,Mushrooms canned,4,12,2,t,4,0,t
126,Mustard greens,1,30,3,t,6,0,1.2
127,Okra,1 1/3 cups,32,1,t,7,0,1
128,Onions,1,80,2,t,18,0,1.6
129,"Raw, green",6 small,22,t,t,5,0,1
130,Parsley,2 T.,2,t,t,t,0,t
131,Parsnips,1 cup,95,2,1,22,0,3
132,Peas,1 cup,66,3,t,13,0,0.1
133,"Fresh, steamed peas",1 cup,70,5,t,12,0,2.2
134,Frozen peas,1 cup,,5,t,12,0,1.8
135,Split cooked peas,4 cups,115,8,t,21,0,0.4
136,heated peas,1 cup,53,3,t,10,0,1
137,Peppers canned,1 pod,10,t,t,2,0,t
138,"Peppers Raw, green, sweet",1 large,25,1,t,6,0,1.4
139,Peppers with beef and crumbs,1 med.,255,19,9,24,8,1
140,"Potatoes, baked",1 med.,100,2,t,22,0,0.5
141,French-fried,10 pieces,155,-1,7,20,3,0.4
142,Potatoes Mashed with milk and butter,1 cup,230,4,12,28,11,0.7
143,"Potatoes, pan-tried",3/4 cup,268,4,14,33,6,0.4
144,Scalloped with cheese potatoes,3/4 cup,145,6,8,14,7,0.4
145,Steamed potatoes before peeling,1 med.,80,2,t,19,0,0.4
146,Potato chips,10,110,1,7,10,4,t
147,Radishes,5 small,10,t,0,2,0,0.3
148,Rutabagas,4 cups,32,t,0,8,0,1.4
149,Soybeans,1 cup,260,22,11,20,0,3.2
150,Spinach,1 cup,26,3,t,3,0,1
151,Squash,1 cup,35,1,t,8,0,0.6
152,"Winter, mashed",1 cup,95,4,t,23,0,2.6
153,Sweet potatoes,1 med.,155,2,1,36,0,1
154,Candied,1 med.,235,2,6,80,5,1.5
155,Tomatoes,1 cup,50,2,t,9,0,1
156,"Raw, 2 by 2 1/2",1 med.,30,1,t,6,0,0.6
157,Tomato juice,1 cup,50,2,t,10,0,0.6
158,Tomato catsup,1 T.,15,t,t,4,0,t
159,Turnip greens,1 cup,45,4,1,8,0,1.8
160,"Turnips, steamed",1 cup,40,1,t,9,0,1.8
161,"Watercress stems, raw",1 cup,9,1,t,1,0,0.3
162,Apple juice canned,1 cup,125,t,0,34,0,0
163,Apple vinegar,1/3 cup,14,t,0,3,0,0
164,"Apples, raw",1 med,70,t,t,18,0,1
165,Stewed or canned,1 cup,100,t,t,26,0,2
166,Apricots,1 cup,220,2,t,57,0,1
167,"Dried, uncooked",1/2 cup,220,4,t,50,0,1
168,Fresh,3 med.,55,1,t,14,0,0.7
169,"Nectar, or juice",1 cup,140,1,t,36,0,2
170,Avocado,1/2 large,185,2,18,6,12,1.8
171,Banana,1 med.,85,1,t,23,0,0.9
172,Blackberries,1 cup,85,2,1,19,0,6.6
173,Blueberries,1 cup,245,1,t,65,0,2
174,Cantaloupe,1/2 med.,40,1,t,9,0,2.2
175,Cherries,1 cup,100,2,1,26,0,2
176,"Fresh, raw",1 cup,65,1,t,15,0,0.8
177,Cranberry sauce sweetened,1 cup,530,t,t,142,0,1.2
178,Dates,1 cup,505,4,t,134,0,3.6
179,Figs,2,120,2,t,30,0,1.9
180,"Fresh, raw figs",3 med.,90,2,t,22,0,1
181,figs Canned with syrup ,3,130,1,t,32,0,1
182,"Fruit cocktail, canned",1 cup,195,1,t,50,0,0.5
183,Grapefruit sections,1 cup,170,1,t,44,0,0.5
184,"Grapefruit, fresh, 5"" diameter",2-Jan,50,1,t,14,t,1
185,Grapefruit juice,1 cup,100,1,t,24,0,1
186,Grapes,1 cup,70,1,t,16,0,0.8
187,"European, as Muscat, Tokay",1 cup,100,1,t,26,0,0.7
188,Grape juice,1 cup,160,1,t,42,0,t
189,Lemon juice,1/2 cup,30,t,t,10,0,t
190,Lemonade concentratefrozen,6-oz. can,430,t,t,112,0,t
191,Limeade concentrate frozen,6-oz. can,405,t,t,108,0,t
192,Olives large,10,72,1,10,3,9,0.8
193,OlivesRipe,10,105,1,13,1,12,1
194,"Oranges 3"" diameter",1 med.,60,2,t,16,t,1
195,Orange juice,8 oz. or,112,2,t,25,0,0.2
196,Frozen ,6-oz. can,330,2,t,78,t,0.4
197,Papaya,1/2 med.,75,1,t,18,0,1.8
198,Peaches,1 cup,200,1,t,52,0,1
199,"Fresh, raw",1 med.,35,1,t,10,0,0.6
200,Pears,1 cup,195,1,t,50,0,2
201,"Raw, 3 by 2V",1 med.,100,1,1,25,0,2
202,Persimmons,1 med.,75,1,t,20,0,2
203,Pineapple,1 large slice,95,t,t,26,0,0.4
204,Pineapple Crushed,1 cup,205,1,t,55,0,0.7
205,"Raw, diced",1 cup,75,1,t',19,0,0.6
206,Pineapple juice,1 cup,120,1,t,32,0,0.2
207,Plums,1 cup,185,1,t,50,0,0.7
208,"Raw, 2"" diameter",1,30,t,t,7,0,0.2
209,Prunes,1 cup,300,3,1,81,0,0.8
210,Prune juice,1 cup,170,1,t,45,0,0.7
211,Raisins,1/2 cup,230,2,t,82,0,0.7
212,Raspberries,1/2 cup,100,t,t,25,0,2
213,"Raw, red",3/4 cup,57,t,t,14,0,5
214,Rhubarb sweetened,1 cup,385,1,t,98,0,1.9
215,Strawberries,1 cup,242,1,t,60,0,1.3
216,Raw,1 cup,54,t,t,12,0,1.9
217,Tangerines,I med.,40,1,t,10,0,1
218,Watermelon,1 wedge,120,2,1,29,0,3.6
219,Biscuits,1,130,3,4,18,3,t
220,Bran flakes,1 cup,117,3,t,32,0,0.1
221,"Bread, cracked wheat",1 slice,60,2,1,12,1,0.1
222,Rye,1 slice,55,2,1,12,1,0.1
223,"White, 20 slices, or",1-lb. loaf,1225,39,15,229,12,9
224,Whole-wheat,1-lb. loaf,1100,48,14,216,10,67.5
225,Whole-wheat,1 slice,55,2,1,11,0,0.31
226,Corn bread ground meal,1 serving,100,3,4,15,2,0.3
227,Cornflakes,1 cup,110,2,t,25,0,0.1
228,Corn grits cooked,1 cup,120,8,t,27,0,0.2
229,Corn meal,1 cup,360,9,4,74,2,1.6
230,Crackers,2 med.,55,1,1,10,0,t
231,"Soda, 2 1/2 square",2,45,1,1,8,0,t
232,Farina,1 cup,105,3,t,22,0,8
233,Flour,1 cup,460,39,22,33,0,2.9
234,Wheat (all purpose),1 cup,400,12,1,84,0,0.3
235,Wheat (whole),1 cup,390,13,2,79,0,2.8
236,Macaroni,1 cup,155,5,1,32,0,0.1
237,Baked with cheese,1 cup,475,18,25,44,24,t
238,Muffins,1,135,4,5,19,4,t
